Quarter,Calls
2000Q1,1901290.416
2000Q2,1989257.822
2000Q3,1965824.838
2000Q4,2176817.65
2001Q1,1947190.165
2001Q2,2054270.441
2001Q3,2026970.772
2001Q4,2249709.919
2002Q1,2022673.795
2002Q2,2129460.49
2002Q3,2081232.032
2002Q4,2352411.818
2003Q1,2116090.545
2003Q2,2222921.961
2003Q3,2196155.764
2003Q4,2487360.769
2004Q1,2267946.769
2004Q2,2389483.447
2004Q3,2333486.834
2004Q4,2624322.541
2005Q1,2381810.854
2005Q2,2524673.991
2005Q3,2435682.404
2005Q4,2748306.049
2006Q1,2489038.397
2006Q2,2674111.208
2006Q3,2550231.584
2006Q4,2913543.728
2007Q1,2642466.395
2007Q2,2857079.568
2007Q3,2717189.243
2007Q4,3102989.931
2008Q1,2752648.382
2008Q2,2993449.244
2008Q3,2864874.986
2008Q4,3200536.546
2009Q1,2783402.566
2009Q2,3050089.21
2009Q3,2891457.423
2009Q4,3257628.771
2010Q1,3009424.563
2010Q2,3293331.585
2010Q3,3095859.271
2010Q4,3462824.728
2011Q1,3154690.003
2011Q2,3410584.88
2011Q3,3189842.691
2011Q4,3602546.878
2012Q1,3345233.942
2012Q2,3622700.611
2012Q3,3425875.614
2012Q4,3885125.952
2013Q1,3599241.883
2013Q2,3894853.316
2013Q3,3655716.288
2013Q4,4093028.685
2014Q1,3804356.422
2014Q2,4165019.269
2014Q3,3872686.474
2014Q4,4368391.592
2015Q1,4004065.941
2015Q2,4431529.608
2015Q3,4127795.833
2015Q4,4676152.187
2016Q1,4281091.523
2016Q2,4761213.899
2016Q3,4430355.06
2016Q4,4999416.797
2017Q1,4553973.976
2017Q2,5102930.951
2017Q3,4764031.522
2017Q4,5331438.35
2018Q1,4847912.953
2018Q2,5428441.562
2018Q3,5056827.524
2018Q4,5671786.758
2019Q1,5132663.809
2019Q2,5733813.036
2019Q3,5376875.836
2019Q4,6046810.522
2020Q1,5095005.946
2020Q2,4760137.501
2020Q3,4753959.59
2020Q4,5547216.184
2021Q1,4896379.756
2021Q2,5332258.002
2021Q3,5093313.804
