,Year,Actual,Frequency,YearStart,MonthStart,YearEnd,MonthEnd
January,2016,26.663,12,2016,1,2020,10
February,2016,23.598,,,,,
March,2016,26.931,,,,,
April,2016,24.74,,,,,
May,2016,25.806,,,,,
June,2016,24.364,,,,,
July,2016,24.477,,,,,
August,2016,23.901,,,,,
September,2016,23.175,,,,,
October,2016,23.227,,,,,
November,2016,21.672,,,,,
December,2016,21.87,,,,,
January,2017,21.439,,,,,
February,2017,21.089,,,,,
March,2017,23.709,,,,,
April,2017,21.669,,,,,
May,2017,21.752,,,,,
June,2017,20.761,,,,,
July,2017,23.479,,,,,
August,2017,23.824,,,,,
September,2017,23.105,,,,,
October,2017,23.11,,,,,
November,2017,21.759,,,,,
December,2017,22.073,,,,,
January,2018,21.937,,,,,
February,2018,20.035,,,,,
March,2018,23.59,,,,,
April,2018,21.672,,,,,
May,2018,22.222,,,,,
June,2018,22.123,,,,,
July,2018,23.95,,,,,
August,2018,23.504,,,,,
September,2018,22.238,,,,,
October,2018,23.142,,,,,
November,2018,21.059,,,,,
December,2018,21.573,,,,,
January,2019,21.548,,,,,
February,2019,20,,,,,
March,2019,22.424,,,,,
April,2019,20.615,,,,,
May,2019,21.761,,,,,
June,2019,22.874,,,,,
July,2019,24.104,,,,,
August,2019,23.748,,,,,
September,2019,23.262,,,,,
October,2019,22.907,,,,,
November,2019,21.519,,,,,
December,2019,22.025,,,,,
January,2020,22.604,,,,,
February,2020,20.894,,,,,
March,2020,24.677,,,,,
April,2020,23.673,,,,,
May,2020,25.32,,,,,
June,2020,23.583,,,,,
July,2020,24.671,,,,,
August,2020,24.454,,,,,
September,2020,24.122,,,,,
October,2020,24.252,,,,,
